Age,Education_Level,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Attrition_rate,Gender_F,Gender_M,Relationship_Status_Married,Relationship_Status_Single,Unit_Accounting and Finance,Unit_Human Resource Management,Unit_IT,Unit_Logistics,Unit_Marketing,Unit_Operarions,Unit_Production,Unit_Purchasing,Unit_Quality,Unit_R&D,Unit_Sales,Unit_Security,Decision_skill_possess_Analytical,Decision_skill_possess_Behavioral,Decision_skill_possess_Conceptual,Decision_skill_possess_Directive,Compensation_and_Benefits_type0,Compensation_and_Benefits_type1,Compensation_and_Benefits_type2,Compensation_and_Benefits_type3,Compensation_and_Benefits_type4
63.0,3.0,27.0,1.0,29.0,0.0,2.0,7.0,1.0,3.0,-0.1048,-0.4537,2.0,5.0,6.0,3.0,0.2109,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23.0,4.0,4.0,2.0,70.0,1.0,3.0,8.0,3.0,4.0,-0.1048,-1.615,2.0,4.0,8.0,3.0,0.1696,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19.0,3.0,0.0,0.0,74.0,0.0,2.0,9.0,3.0,3.0,-0.9612,1.8688,2.0,4.0,6.0,3.0,0.0318,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22.39083225927004,3.0,0.0,0.0,32.0,1.0,2.0,6.0,2.0,3.0,0.7516,-1.615,1.0,3.0,8.0,3.0,0.1331,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65.0,4.0,35.0,1.0,58.0,0.0,3.0,4.0,2.0,3.0,-0.1048,0.7075,1.0,3.0,5.0,3.0,0.0671,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40.0,4.0,12.0,1.0,45.0,1.0,3.0,9.0,2.0,3.0,-0.9612,-0.4537,2.0,5.0,8.0,4.0,0.1468,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33.0,3.0,9.0,1.0,39.0,1.0,2.0,5.0,1.0,3.0,-1.8176,0.7075,2.0,3.0,8.0,3.0,0.056,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,3.0,7.0,4.0,44.0,0.0,4.0,5.0,1.0,3.0,-0.011462653894932846,0.7075,1.0,1.0,5.0,4.0,0.6409999999999999,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
22.0,4.0,3.0,1.0,53.0,0.0,4.0,6.0,3.0,3.0,-0.9612,-0.4537,2.0,2.0,7.0,4.0,0.1095,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25.0,3.0,6.0,3.0,53.0,1.0,2.0,6.0,1.0,3.0,0.7516,0.7075,3.0,3.0,8.0,4.0,0.0462,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
65.0,1.0,33.0,2.0,30.0,0.0,3.0,7.0,2.0,3.0,-0.01118669080486627,0.7075,1.0,3.0,6.0,3.0,0.1708,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31.0,4.0,6.0,4.0,39.0,1.0,3.0,8.0,1.0,3.0,-0.1048,0.7075,2.0,3.0,5.0,3.0,0.2704,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,5.0,5.0,1.0,52.0,0.0,3.0,8.0,2.0,3.0,-0.9612,-0.4537,1.8920058891126452,3.0,8.0,5.0,0.1742,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
40.97469154144137,2.0,15.0,1.0,58.0,1.0,3.0,3.0,1.0,3.0,-0.1048,-0.4537,1.0,4.0,8.0,2.0,0.8727,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
47.0,4.0,21.0,1.0,34.0,1.0,3.0,8.0,4.0,4.0,0.7516,0.7075,2.0,3.0,5.0,2.0,0.2269,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28.0,3.0,5.479226951718411,1.0,58.0,0.0,4.0,8.0,1.0,3.0,0.7516,0.7075,2.0,3.0,8.0,3.0,0.6272,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
45.0,3.0,15.0,4.0,60.0,0.0,2.0,9.0,2.0,3.0,-0.9612,-0.4537,1.899522300828051,1.0,7.0,5.0,0.0326,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,3.0,6.0,1.0,29.0,0.0,4.0,7.0,3.0,3.0,-1.8176,-0.4537,2.0,2.0,8.0,3.0,0.273,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24.0,4.0,5.0,4.0,55.0,0.0,1.0,8.0,3.0,4.0,0.7516,0.7075,2.0,3.0,5.0,3.0,0.0021,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54.0,3.0,28.0,1.0,71.0,2.0,3.0,5.0,3.0,4.0,-0.1048,-0.4537,1.9044597138410349,2.0,8.0,5.0,0.0647,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
54.0,1.0,30.0,3.0,22.0,0.0,1.0,5.0,2.0,3.0,-1.8176,-0.4537,2.0,4.0,7.0,3.0,0.0447,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55.0,3.0,33.0,4.0,66.0,0.0,5.0,7.0,4.0,3.0,-0.1048,-0.4537,2.0,2.0,6.0,3.0,0.2307,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,5.0,0.0,0.0,39.0,2.0,3.0,4.0,4.0,3.0,-0.016283199939860337,-0.4537,1.0,2.0,8.0,3.0,0.2637,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46.0,3.0,10.0,2.0,31.0,0.0,2.0,9.0,1.0,3.0,-1.8176,0.7075,2.0,1.0,8.0,3.0,0.0759,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0,3.0,6.0,3.0,38.0,2.0,1.0,5.0,2.0,3.0,1.6081,0.7075,2.0,3.0,9.0,3.0,0.2161,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,3.0,26.0,2.0,27.0,2.0,4.0,8.0,2.0,3.0,-0.1048,-0.4537,2.0,3.0,8.0,3.0,0.4617,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33.0,3.0,9.0,3.0,72.0,0.0,1.0,10.0,2.0,2.0,0.7516,-0.4537,1.9060527576482953,2.0,7.0,3.0,0.6961,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30.0,3.0,7.0,3.0,33.0,0.0,2.0,6.0,1.0,1.0,0.7516,0.7075,2.0,4.0,7.0,3.0,0.2656,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27.95902313145759,2.0,4.0,1.0,72.0,2.0,5.0,6.0,2.0,3.0,-1.8176,0.7075,2.0,5.0,6.0,2.0,0.0618,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
43.0,4.0,12.0,4.0,50.0,2.0,5.0,5.0,4.0,3.0,0.7516,-0.4537,2.0,4.0,8.0,3.0,0.1983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30.0,4.0,6.0,1.0,46.0,1.0,1.0,6.0,4.0,2.0,1.6081,0.7075,1.0,4.0,8.0,4.0,0.2744,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
46.48851816699552,3.0,19.0,3.0,51.0,1.0,2.0,4.0,2.0,5.0,0.7516,1.8688,2.0,3.0,8.0,3.0,0.1571,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24.0,3.0,5.0,1.0,20.0,1.0,4.0,7.0,2.0,4.0,0.7516,0.7075,2.0,4.0,6.0,3.0,0.0088,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39.0,3.0,14.0,4.0,67.0,1.0,5.0,5.0,1.0,3.0,1.6081,0.7075,1.9038695307728666,3.0,6.0,3.0,0.0882,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27.0,4.0,3.0,3.0,68.0,0.0,4.0,6.0,4.0,4.0,-0.1048,-0.4537,1.0,3.0,8.0,5.0,0.2711,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34.0,4.0,10.0,2.0,67.0,0.0,3.0,9.0,2.0,3.0,0.7516,-0.4537,2.0,1.0,7.0,1.0,0.1519,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
57.0,1.0,35.0,3.0,37.0,1.0,3.0,2.0,1.0,4.0,0.7516,0.7075,2.0,2.0,6.0,3.0,0.1593,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
31.0,4.0,4.0,2.0,48.0,0.0,5.0,4.0,1.0,1.0,-0.1048,0.7075,1.8936669090805056,3.0,8.0,3.0,0.23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54.0,3.0,27.0,4.0,27.0,0.0,1.0,5.0,2.0,3.0,-0.014484296825788848,-0.4537,2.0,3.0,6.0,4.0,0.0672,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
51.0,3.0,27.0,2.0,63.0,1.0,2.0,6.0,3.0,3.0,0.0020250350438768064,-1.615,3.0,4.0,8.0,3.0,0.046,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
41.0,4.0,18.0,1.0,64.0,0.0,2.0,5.0,4.0,3.0,-0.9612,-0.4537,2.0,2.0,8.0,4.0,0.1008,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
28.0,4.0,6.0,1.0,22.0,1.0,3.0,7.0,1.0,3.0,-0.1048,1.8688,2.0,3.0,7.0,3.0,0.0871,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
52.627739545229815,4.0,24.0,4.0,52.0,0.0,2.0,5.0,3.0,3.0,-1.8176,-0.4537,1.0,3.0,9.0,4.0,0.0449,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37.0,3.0,10.0,2.0,66.0,1.0,4.0,5.0,2.0,3.0,-0.1048,-2.7762,1.0,2.0,5.0,4.0,0.1544,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,3.0,27.0,3.0,38.0,1.0,3.0,4.0,1.0,2.0,0.7516,-0.4537,2.0,1.0,8.0,3.0,0.0068,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24.0,4.0,2.5005560313423043,4.0,22.0,0.0,3.0,6.0,2.0,4.0,-1.8176,-0.4537,2.0,3.0,8.0,5.0,0.2197,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54.0,1.0,23.0,2.0,29.0,2.0,1.0,6.0,1.0,3.0,-0.013762099378351555,-0.4537,1.880967611768983,4.0,6.0,4.0,0.1379,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,4.0,27.0,1.0,54.0,0.0,3.0,7.0,4.0,3.0,-0.002334344595212298,-0.4537,3.0,3.0,7.0,5.0,0.2384,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
54.0,1.0,15.0,2.0,27.0,0.0,3.0,6.0,2.0,3.0,0.7516,0.7075,1.8826637752141493,4.0,8.0,3.0,0.1313,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
34.0,2.0,12.0,2.0,23.0,2.0,1.0,5.0,1.0,3.0,-0.020062333765491543,-0.4537,2.0,5.0,5.0,3.0,0.042,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
56.0,1.0,20.0,3.0,47.0,1.0,5.0,5.0,1.0,3.0,-0.9612,-0.4537,2.0,2.0,8.0,3.0,0.1675,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37.0,4.0,12.0,4.0,59.0,1.0,2.0,4.0,3.0,3.0,0.7516,0.7075,2.0,3.0,8.0,3.0,0.9262,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
58.0,4.0,22.0,3.0,59.0,0.0,3.0,4.0,2.0,3.0,-0.1048,-0.4537,3.0,2.0,6.0,5.0,0.1291,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28.0,5.0,5.0,3.0,71.0,1.0,2.0,5.0,1.0,4.0,-0.9612,-0.4537,2.0,3.0,8.0,3.0,0.1577,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,5.0,6.0,4.0,57.0,1.0,4.0,5.0,3.0,1.0,-0.9612,0.7075,1.897162489932224,2.0,5.0,3.0,0.0645,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
44.0,5.0,8.0,1.0,52.0,0.0,3.0,3.0,3.0,3.0,-0.9612,0.7075,2.0,1.0,8.0,4.0,0.1883,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,3.0,21.0,2.0,46.0,0.0,2.0,8.0,1.0,2.0,0.7516,-0.4537,2.0,4.0,7.0,3.0,0.255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51.0,5.0,13.0,4.0,63.0,1.0,2.0,5.0,4.0,3.0,-0.9612,-0.4537,1.0,2.0,7.0,3.0,0.472,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
54.0,3.0,15.0,4.0,51.0,0.0,2.0,8.0,3.0,4.0,-0.9612,-0.4537,2.0,5.0,7.0,3.0,0.1183,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
54.0,2.0,19.0,1.0,72.0,1.0,2.0,5.0,3.0,4.0,0.7516,0.7075,3.0,4.0,8.0,4.0,0.0026,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,3.0,21.0,2.0,29.0,0.0,4.0,5.0,2.0,3.0,-0.9612,1.8688,2.0,3.0,7.0,3.0,0.1475,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36.0,3.0,9.0,4.0,61.0,1.0,5.0,4.0,4.0,3.0,-0.1048,-2.7762,2.0,3.0,8.0,4.0,0.1746,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
26.0,1.0,4.0,2.0,43.0,1.0,1.0,8.0,1.0,2.0,-0.1048,-1.615,2.0,4.0,7.0,3.0,0.1136,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29.0,2.0,5.0,4.0,32.0,0.0,3.0,6.0,3.0,3.0,-0.1048,0.7075,3.0,4.0,8.0,4.0,0.0386,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
